Year,County,Average Weekly Wages,Average Montly Wages
2011,Stanislaus  ,764,3056
2010,Stanislaus  ,752,3008
2009,Stanislaus  ,743,2972
2008,Stanislaus  ,728,2912
2007,Stanislaus  ,707,2828
2006,Stanislaus  ,682,2728
2005,Stanislaus  ,660,2640
2004,Stanislaus  ,637,2548
2003,Stanislaus  ,614,2456
2002,Stanislaus  ,592,2368
2001,Stanislaus  ,569,2276
2000,Stanislaus  ,542,2168
1999,Stanislaus  ,518,2072
1998,Stanislaus  ,501,2004
1997,Stanislaus  ,480,1920
2020,Sutter  ,897,3588
2019,Sutter  ,827,3308
2018,Sutter  ,800,3200
2017,Sutter  ,779,3116
2016,Sutter  ,764,3056
2015,Sutter  ,752,3008
2014,Sutter  ,721,2884
2013,Sutter  ,695,2780
2012,Sutter  ,690,2760
2011,Sutter  ,676,2704
2010,Sutter  ,665,2660
2009,Sutter  ,667,2668
2008,Sutter  ,648,2592
2007,Sutter  ,627,2508
2006,Sutter  ,610,2440
2005,Sutter  ,576,2304
2004,Sutter  ,560,2240
2003,Sutter  ,536,2144
2002,Sutter  ,523,2092
2001,Sutter  ,504,2016
2000,Sutter  ,475,1900
1999,Sutter  ,459,1836
1998,Sutter  ,437,1748
1997,Sutter  ,414,1656
2020,Tehama  ,938,3752
2019,Tehama  ,861,3444
2018,Tehama  ,834,3336
2017,Tehama  ,802,3208
2016,Tehama  ,775,3100
2015,Tehama  ,763,3052
2014,Tehama  ,724,2896
2013,Tehama  ,700,2800
2012,Tehama  ,684,2736
2011,Tehama  ,676,2704
2010,Tehama  ,653,2612
2009,Tehama  ,639,2556
2008,Tehama  ,633,2532
2007,Tehama  ,621,2484
2006,Tehama  ,593,2372
2005,Tehama  ,575,2300
2004,Tehama  ,556,2224
2003,Tehama  ,541,2164
2002,Tehama  ,517,2068
2001,Tehama  ,501,2004
2000,Tehama  ,488,1952
1999,Tehama  ,466,1864
1998,Tehama  ,445,1780
1997,Tehama  ,428,1712
2020,Trinity  ,859,3436
2019,Trinity  ,774,3096
2018,Trinity  ,795,3180
2017,Trinity  ,742,2968
2016,Trinity  ,708,2832
2015,Trinity  ,692,2768
2014,Trinity  ,657,2628
2013,Trinity  ,637,2548
2012,Trinity  ,637,2548
2011,Trinity  ,637,2548
2010,Trinity  ,597,2388
2009,Trinity  ,571,2284
2008,Trinity  ,590,2360
2007,Trinity  ,574,2296
2006,Trinity  ,556,2224
2005,Trinity  ,528,2112
2004,Trinity  ,511,2044
2003,Trinity  ,499,1996
2002,Trinity  ,475,1900
2001,Trinity  ,455,1820
2000,Trinity  ,436,1744
1999,Trinity  ,409,1636
1998,Trinity  ,386,1544
1997,Trinity  ,382,1528
2020,Tulare  ,874,3496
2019,Tulare  ,803,3212
2018,Tulare  ,768,3072
2017,Tulare  ,750,3000
2016,Tulare  ,732,2928
2015,Tulare  ,701,2804
2014,Tulare  ,678,2712
2013,Tulare  ,656,2624
2012,Tulare  ,652,2608
2011,Tulare  ,637,2548
2010,Tulare  ,622,2488
2009,Tulare  ,618,2472
2008,Tulare  ,616,2464
2007,Tulare  ,596,2384
2006,Tulare  ,573,2292
2005,Tulare  ,550,2200
2004,Tulare  ,537,2148
2003,Tulare  ,512,2048
2002,Tulare  ,493,1972
2001,Tulare  ,476,1904
2000,Tulare  ,458,1832
1999,Tulare  ,438,1752
1998,Tulare  ,419,1676
1997,Tulare  ,400,1600
2020,Tuolumne  ,958,3832
2019,Tuolumne  ,878,3512
2018,Tuolumne  ,849,3396
2017,Tuolumne  ,825,3300
2016,Tuolumne  ,784,3136
2015,Tuolumne  ,776,3104
2014,Tuolumne  ,746,2984
2013,Tuolumne  ,725,2900
2012,Tuolumne  ,739,2956
2011,Tuolumne  ,730,2920
2010,Tuolumne  ,718,2872
2009,Tuolumne  ,702,2808
2008,Tuolumne  ,700,2800
2007,Tuolumne  ,685,2740
2006,Tuolumne  ,654,2616
2005,Tuolumne  ,621,2484
2004,Tuolumne  ,594,2376
2003,Tuolumne  ,568,2272
2002,Tuolumne  ,546,2184
2001,Tuolumne  ,509,2036
2000,Tuolumne  ,490,1960
1999,Tuolumne  ,479,1916
1998,Tuolumne  ,452,1808
1997,Tuolumne  ,433,1732
2020,Ventura  ,1220,4880
2019,Ventura  ,1112,4448
2018,Ventura  ,1062,4248
2017,Ventura  ,1047,4188
2016,Ventura  ,1031,4124
2015,Ventura  ,1037,4148
2014,Ventura  ,998,3992
2013,Ventura  ,971,3884
2012,Ventura  ,967,3868
2011,Ventura  ,949,3796
2010,Ventura  ,923,3692
2009,Ventura  ,905,3620
2008,Ventura  ,894,3576
2007,Ventura  ,917,3668
2006,Ventura  ,874,3496
2005,Ventura  ,858,3432
2004,Ventura  ,823,3292
2003,Ventura  ,775,3100
2002,Ventura  ,735,2940
2001,Ventura  ,727,2908
2000,Ventura  ,712,2848
1999,Ventura  ,653,2612
1998,Ventura  ,672,2688
1997,Ventura  ,586,2344
2020,Yolo  ,1264,5056
2019,Yolo  ,1195,4780
2018,Yolo  ,1169,4676
2017,Yolo  ,1120,4480
2016,Yolo  ,1076,4304
2015,Yolo  ,1040,4160
2014,Yolo  ,1010,4040
2013,Yolo  ,968,3872
2012,Yolo  ,952,3808
2011,Yolo  ,919,3676
2010,Yolo  ,894,3576
2009,Yolo  ,840,3360
2008,Yolo  ,832,3328
2007,Yolo  ,802,3208
2006,Yolo  ,754,3016
2005,Yolo  ,734,2936
2004,Yolo  ,713,2852
2003,Yolo  ,673,2692
2002,Yolo  ,684,2736
2001,Yolo  ,680,2720
2000,Yolo  ,641,2564
1999,Yolo  ,622,2488
1998,Yolo  ,615,2460
1997,Yolo  ,607,2428
2020,Yuba  ,1093,4372
2019,Yuba  ,1023,4092
2018,Yuba  ,987,3948
2017,Yuba  ,956,3824
2016,Yuba  ,921,3684
2015,Yuba  ,903,3612
2014,Yuba  ,842,3368
2013,Yuba  ,819,3276
2012,Yuba  ,827,3308
2011,Yuba  ,818,3272
2010,Yuba  ,813,3252
2009,Yuba  ,801,3204
2008,Yuba  ,793,3172
2007,Yuba  ,753,3012
2006,Yuba  ,707,2828
2005,Yuba  ,683,2732
2004,Yuba  ,647,2588
2003,Yuba  ,659,2636
2002,Yuba  ,608,2432
2001,Yuba  ,579,2316
2000,Yuba  ,542,2168
1999,Yuba  ,516,2064
1998,Yuba  ,499,1996
1997,Yuba  ,457,1828
